Chr,Start,End,Symbol,Strand,TPM,,Gene_ID,Type,N_alu,N_events,Ed_Pri,Ed_Mat
chr20,3827446,3856770,MAVS,+,28.267,V,ENSG00000088888,protein_coding,21,194,0.122,0.0
chr12,53551447,53574693,CSAD,-,25.083,V,ENSG00000139631,protein_coding,17,191,0.241,0.0
chr9,131084823,131096351,COQ4,+,54.637,V,ENSG00000167113,protein_coding,7,188,0.167,0.0
chr7,43980494,44058774,POLR2J4,-,1.169,V,ENSG00000214783,lncRNA,66,188,0.19,0.0
chr7,43991509,44058750,AC004951.4,-,1.36,V,ENSG00000273432,lncRNA,58,187,0.19,0.0
chr17,79523913,79615495,NPLOC4,-,50.221,V,ENSG00000182446,protein_coding,66,181,0.125,0.0
chr19,45882896,45909607,PPP1R13L,-,127.016,V,ENSG00000104881,protein_coding,22,166,0.167,0.0
chr8,11700033,11726957,CTSB,-,310.814,V,ENSG00000164733,protein_coding,15,162,0.089,0.0
chrX,73160270,73513409,FTX,-,4.37,V,ENSG00000230590,lncRNA,77,158,0.164,0.0
chr2,206979541,207024233,NDUFS1,-,21.468,V,ENSG00000023228,protein_coding,37,138,0.181,0.0
chr16,3077683,3086927,BICDL2,-,183.56,V,ENSG00000162069,protein_coding,0,128,0.11,0.0
chr11,767220,777488,GATD1,-,35.95,V,ENSG00000177225,protein_coding,3,123,0.105,0.0
chr11,8986057,8999074,TMEM9B-AS1,+,6.284,V,ENSG00000254860,lncRNA,6,123,0.236,0.0
chr16,31125810,31142714,KAT8,+,15.039,V,ENSG00000103510,protein_coding,12,117,0.132,0.0
chr2,219081864,219119079,ARPC2,+,209.052,V,ENSG00000163466,protein_coding,22,117,0.174,0.0
chr11,118868848,118886503,CCDC84,+,9.685,V,ENSG00000186166,protein_coding,15,114,0.227,0.0
chr19,16741562,16771253,SMIM7,-,11.037,V,ENSG00000214046,protein_coding,25,114,0.197,0.0
chr19,16688453,16770926,AC008764.4,-,0.149,V,ENSG00000268790,protein_coding,35,114,0.197,0.0
chr1,155278539,155290457,FDPS,+,91.153,V,ENSG00000160752,protein_coding,7,112,0.065,0.0
chr10,75532034,75540009,FUT11,+,23.344,V,ENSG00000196968,protein_coding,5,112,0.081,0.0
chr7,128095991,128109251,AC010655.2,+,0.133,V,ENSG00000240758,lncRNA,4,111,0.089,0.0
chr16,90168679,90244752,FAM157C,+,10.541,V,ENSG00000260528,lncRNA,33,111,0.192,0.0
chr15,90014629,90039820,RHCG,-,5709.125,V,ENSG00000140519,protein_coding,6,110,0.045,0.0
chr10,73975758,73995618,ANAPC16,+,41.076,V,ENSG00000166295,protein_coding,10,109,0.147,0.0
chr19,21324827,21378856,ZNF431,+,8.722,V,ENSG00000196705,protein_coding,18,107,0.183,0.0
chr19,13875336,13885096,MRI1,+,22.402,V,ENSG00000037757,protein_coding,7,106,0.167,0.0
chr19,53058710,53090427,ZNF701,+,2.585,V,ENSG00000167562,protein_coding,26,103,0.218,0.0
chr16,28962128,28978418,NFATC2IP,+,30.001,V,ENSG00000176953,protein_coding,11,102,0.195,0.0
chr19,43011456,43065386,CEACAM1,-,165.358,V,ENSG00000079385,protein_coding,13,101,0.125,0.0
chr1,204485507,204527248,MDM4,+,12.648,V,ENSG00000198625,protein_coding,26,101,0.161,0.0
chr3,49315264,49378145,USP4,-,29.72,V,ENSG00000114316,protein_coding,51,100,0.25,0.0
chr16,10622279,10674489,EMP2,-,71.764,V,ENSG00000213853,protein_coding,22,100,0.094,0.0
chr19,55550476,55582659,RDH13,-,18.894,V,ENSG00000160439,protein_coding,27,98,0.171,0.0
chr18,12307668,12344319,TUBB6,+,186.069,V,ENSG00000176014,protein_coding,14,95,0.194,0.0
chr19,55538961,55565296,AC011476.2,-,0.417,V,ENSG00000267149,lncRNA,16,95,0.159,0.0
chr7,99156029,99174076,ZNF655,+,39.028,V,ENSG00000197343,protein_coding,9,93,0.178,0.0
chr7,99156318,99205433,AC005020.2,+,0.106,V,ENSG00000272647,protein_coding,19,93,0.178,0.0
chr6,42847356,42857663,RPL7L1,+,27.513,V,ENSG00000146223,protein_coding,10,92,0.122,0.0
chr12,110810705,110841535,ANAPC7,-,45.299,V,ENSG00000196510,protein_coding,24,91,0.212,0.0
chr19,58361227,58376485,ZNF587,+,7.2,V,ENSG00000198466,protein_coding,12,91,0.148,0.0
chr1,28696093,28826876,PHACTR4,+,49.658,V,ENSG00000204138,protein_coding,112,91,0.068,0.0
chr12,110288750,110318346,GLTP,-,493.877,V,ENSG00000139433,protein_coding,14,90,0.128,0.0
chr11,66511922,66610799,C11orf80,+,18.467,V,ENSG00000173715,protein_coding,72,89,0.295,0.0
chr12,6456009,6486896,SCNN1A,-,164.875,V,ENSG00000111319,protein_coding,8,86,0.17,0.0
chr15,52121825,52239492,TMOD3,+,49.279,V,ENSG00000138594,protein_coding,52,86,0.15,0.0
chr1,27668511,27680428,SYTL1,+,130.723,V,ENSG00000142765,protein_coding,6,86,0.139,0.0
chr21,15399740,15516789,AP001347.1,+,2.995,V,ENSG00000224905,lncRNA,26,86,0.213,0.0
chrX,54556644,54593722,GNL3L,+,7.724,V,ENSG00000130119,protein_coding,22,85,0.193,0.0
chr9,4709556,4742043,AK3,-,45.331,V,ENSG00000147853,protein_coding,12,85,0.239,0.0
chr16,31133556,31135385,AC135050.6,+,27.894,V,ENSG00000278133,lncRNA,3,83,0.14,0.0
chr2,201980877,202041410,CFLAR,+,19.783,V,ENSG00000003402,protein_coding,24,81,0.071,0.0
chr2,26256953,26360323,RAB10,+,401.688,V,ENSG00000084733,protein_coding,60,79,0.308,0.0
chr1,207925402,207968858,CD46,+,171.756,V,ENSG00000117335,protein_coding,8,79,0.195,0.0
chr5,177557997,177577569,RMND5B,+,46.144,V,ENSG00000145916,protein_coding,15,79,0.207,0.0
chr7,102219551,102319742,AC105052.4,-,0.782,V,ENSG00000279168,lncRNA,82,79,0.149,0.0
chrX,122993574,123047829,XIAP,+,15.77,V,ENSG00000101966,protein_coding,50,78,0.124,0.0
chr8,42273993,42397069,SLC20A2,-,23.652,V,ENSG00000168575,protein_coding,63,78,0.25,0.0
chr15,41576188,41601935,OIP5-AS1,+,18.875,V,ENSG00000247556,lncRNA,16,78,0.104,0.0
chr19,52534631,52598991,ZNF432,-,8.564,V,ENSG00000256087,protein_coding,17,77,0.189,0.0
chr1,9160364,9189161,GPR157,-,47.377,V,ENSG00000180758,protein_coding,19,74,0.122,0.0
chr1,1246965,1260071,INTS11,-,37.88,V,ENSG00000127054,protein_coding,5,73,0.116,0.0
